tau_min,trades,pnl,per_contract
1,61.0,-927.4600000000003,-0.03065780774824806
2,79.0,327.62,0.008357866272098778
3,79.0,696.1799999999998,0.017796012269938648
4,113.0,434.83000000000027,0.00780860539453364
5,123.0,1756.1799999999998,0.028755423837047465
6,144.0,6150.02,0.08816095414211787
7,177.0,2513.9100000000008,0.03028551808883589
8,230.0,3858.874,0.035369415776062764
9,258.0,-1382.0700000000004,-0.011140425120305664
10,349.0,-592.0500000000006,-0.00360750932267421
11,505.0,2517.709999999999,0.010655485159744878
12,640.0,-4905.688000000002,-0.01638156172361286
13,841.0,6318.499999999997,0.015784253966985084
14,1471.0,28139.999999999996,0.03971222046915176
